

Country, Hub, Parameters, 2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02
,Sot,Number of Farmers,,20,16,17,14,11,9,5
,,Number of Cows,,32,26,27,20,16,12,6
,,Number of Records,,236,288,228,164,100,77,11
,,Average Milk Production,,3.35,2.78,2.97,3.00,3.35,3.22,3.91
,,StdDev,,1.53,1.58,1.58,1.17,1.49,1.20,1.62
,Torongo,Number of Farmers,2,15,10,7,5,3,2,1
,,Number of Cows,2,21,16,12,8,4,3,1
,,Number of Records,3,79,102,43,39,45,23,2
,,Average Milk Production,3.33,3.46,2.88,3.65,4.14,3.67,3.67,4.00
,,StdDev,0.47,1.62,2.12,2.71,2.92,2.88,3.24,1.00
,Country Summary,Number of Farmers,29,137,100,75,64,52,40,33
,,Number of Cows,40,213,154,116,97,79,58,45
,,Number of Records,55,1355,1439,987,746,673,468,101
,,Average Milk Production,5.46,3.76,3.33,3.61,4.13,3.95,3.59,3.86
,,StdDev,4.13,2.20,2.07,3.85,3.48,4.70,2.23,2.48
